Age,Gender,Quit,YearsOverall,BasicSalary,Contract,CusSize,TechRole,ThisYearBonus,LastYearBonus,Level
35,0,0,12.0,70000.0,Unlimited contract,101 to 1000,1,0,0,Employee
28,1,0,6.0,60000.0,Unlimited contract,101 to 1000,1,0,0,Employee
25,1,0,6.0,63700.0,Unlimited contract,1000+,1,1,1,Employee
35,1,0,3.0,68000.0,Unlimited contract,51 to 100,1,1,1,Employee
31,1,1,10.0,80000.0,Unlimited contract,101 to 1000,1,0,0,Management
39,1,0,10.0,80000.0,Unlimited contract,1000+,1,0,0,Management
40,1,0,20.0,85000.0,Unlimited contract,1000+,1,1,1,Management
24,1,0,3.0,77000.0,Unlimited contract,1000+,1,1,0,Employee
28,1,0,3.0,65000.0,Unlimited contract,1000+,1,1,1,Employee
36,1,0,20.0,74000.0,Unlimited contract,1000+,1,1,1,Management
40,1,0,11.0,75000.0,Unlimited contract,1000+,1,1,1,Management
26,1,1,2.0,48000.0,Temporary contract,51 to 100,1,1,0,Employee
24,1,0,3.0,48000.0,Temporary contract,1000+,1,0,0,Employee
25,1,0,0.0,58000.0,Unlimited contract,1000+,1,0,0,Employee
27,1,0,5.0,73000.0,Unlimited contract,1000+,0,1,1,Employee
35,0,0,4.0,51000.0,Unlimited contract,101 to 1000,1,1,1,Employee
37,1,0,14.0,84000.0,Unlimited contract,1000+,1,0,0,Management
50,1,0,29.0,28800.0,Unlimited contract,11 to 50,1,1,1,Management
33,1,0,2.0,54000.0,Unlimited contract,1000+,1,0,0,Employee
37,1,0,6.0,47400.0,Unlimited contract,1000+,1,1,1,Employee
34,1,0,6.0,62000.0,Unlimited contract,1000+,1,1,1,Employee
36,1,0,15.0,150000.0,Unlimited contract,101 to 1000,1,1,1,Top Management
45,1,0,19.0,90000.0,Unlimited contract,1000+,0,1,1,Management
26,0,0,2.0,32000.0,Unlimited contract,1000+,1,0,0,Employee
42,1,0,2.0,80000.0,Unlimited contract,1000+,1,1,1,Management
28,1,0,8.0,67200.0,Unlimited contract,1000+,1,0,0,Management
33,0,0,10.0,47500.0,Unlimited contract,11 to 50,1,0,0,Management
29,1,1,5.0,115000.0,Unlimited contract,1000+,1,1,0,Management
27,1,0,3.0,21120.0,Temporary contract,11 to 50,1,1,1,Employee
32,1,0,8.0,36000.0,Unlimited contract,1000+,1,1,1,Management
24,1,0,3.0,48000.0,Unlimited contract,1000+,0,1,0,Management
29,1,1,12.0,120000.0,Temporary contract,101 to 1000,1,1,1,Management
32,1,1,25.0,100000.0,Temporary contract,11 to 50,1,1,1,Management
32,1,1,10.0,105000.0,Temporary contract,101 to 1000,1,0,0,Management
27,0,0,6.0,50000.0,Temporary contract,101 to 1000,0,0,0,Management
31,1,1,10.0,45000.0,Temporary contract,11 to 50,1,0,0,Management
33,1,0,12.0,120000.0,Temporary contract,101 to 1000,1,0,0,Management
30,1,1,2.0,48000.0,Temporary contract,1000+,1,1,1,Employee
23,1,0,4.0,34000.0,Temporary contract,up to 10,1,0,0,Employee
40,1,0,14.0,135000.0,Temporary contract,101 to 1000,1,0,0,Management
33,1,0,8.0,75000.0,Temporary contract,11 to 50,1,0,0,Management
33,1,0,5.0,70000.0,Temporary contract,1000+,1,0,0,Employee
35,1,0,15.0,60000.0,Temporary contract,101 to 1000,1,0,0,Employee
34,1,0,14.0,100000.0,Temporary contract,51 to 100,1,0,0,Management
29,1,1,2.0,55200.0,Temporary contract,1000+,1,0,0,Employee
34,1,1,3.0,70000.0,Temporary contract,101 to 1000,1,0,0,Management
